LocationType,Location,TimeFrame,DataFormat,Data
School District,Bourbon Co.,2015,Rate,85.8
School District,Bourbon Co.,2016,Rate,91.4
School District,Bourbon Co.,2017,Rate,91.3
School District,Bourbon Co.,2018,Rate,89.1
School District,Bourbon Co.,2019,Rate,90.2
School District,Bourbon Co.,2020,Rate,92.9
School District,Bourbon Co.,2021,Rate,97.8
School District,Bourbon Co.,2022,Rate,95.4
School District,Bourbon Co.,2023,Rate,93
School District,Bourbon Co.,2024,Rate,93.6
School District,Bowling Green Ind.,2013,Rate,94.6
School District,Bowling Green Ind.,2014,Rate,93.2
School District,Bowling Green Ind.,2015,Rate,91.3
School District,Bowling Green Ind.,2016,Rate,92.8
School District,Bowling Green Ind.,2017,Rate,93.2
School District,Bowling Green Ind.,2018,Rate,89.7
School District,Bowling Green Ind.,2019,Rate,97.6
School District,Bowling Green Ind.,2020,Rate,96.3
School District,Bowling Green Ind.,2021,Rate,97.5
School District,Bowling Green Ind.,2022,Rate,96.6
School District,Bowling Green Ind.,2023,Rate,98.2
School District,Bowling Green Ind.,2024,Rate,97.5
School District,Boyd Co.,2013,Rate,93.8
School District,Boyd Co.,2014,Rate,94.5
School District,Boyd Co.,2015,Rate,93.4
School District,Boyd Co.,2016,Rate,92.6
School District,Boyd Co.,2017,Rate,96.2
School District,Boyd Co.,2018,Rate,93.6
School District,Boyd Co.,2019,Rate,94.6
School District,Boyd Co.,2020,Rate,92.3
School District,Boyd Co.,2021,Rate,90.2
School District,Boyd Co.,2022,Rate,91.4
School District,Boyd Co.,2023,Rate,92.8
School District,Boyd Co.,2024,Rate,91.5
School District,Boyle Co.,2013,Rate,95.4
School District,Boyle Co.,2014,Rate,98
School District,Boyle Co.,2015,Rate,97.8
School District,Boyle Co.,2016,Rate,95.6
School District,Boyle Co.,2017,Rate,97.4
School District,Boyle Co.,2018,Rate,98.7
School District,Boyle Co.,2019,Rate,98.2
School District,Boyle Co.,2020,Rate,97
School District,Boyle Co.,2021,Rate,95.4
School District,Boyle Co.,2022,Rate,94.6
School District,Boyle Co.,2023,Rate,94
School District,Boyle Co.,2024,Rate,94.6
School District,Bracken Co.,2013,Rate,95.9
School District,Bracken Co.,2014,Rate,96.3
School District,Bracken Co.,2015,Rate,93.8
School District,Bracken Co.,2016,Rate,94.7
School District,Bracken Co.,2017,Rate,94.2
School District,Bracken Co.,2018,Rate,97.5
School District,Bracken Co.,2019,Rate,91.8
School District,Bracken Co.,2020,Rate,98.9
School District,Bracken Co.,2021,Rate,91.5
School District,Bracken Co.,2022,Rate,88.5
School District,Bracken Co.,2023,Rate,88.6
School District,Bracken Co.,2024,Rate,87.8
School District,Breathitt Co.,2013,Rate,86.5
School District,Breathitt Co.,2014,Rate,75.5
School District,Breathitt Co.,2015,Rate,68.1
School District,Breathitt Co.,2016,Rate,75
School District,Breathitt Co.,2017,Rate,84.6
School District,Breathitt Co.,2018,Rate,91.1
School District,Breathitt Co.,2019,Rate,88.9
School District,Breathitt Co.,2020,Rate,94.1
School District,Breathitt Co.,2021,Rate,92.1
School District,Breathitt Co.,2022,Rate,89.9
School District,Breathitt Co.,2023,Rate,89.4
School District,Breathitt Co.,2024,Rate,90
School District,Breckinridge Co.,2013,Rate,92.7
School District,Breckinridge Co.,2014,Rate,92.5
School District,Breckinridge Co.,2015,Rate,94.1
School District,Breckinridge Co.,2016,Rate,90.3
School District,Breckinridge Co.,2017,Rate,93.8
School District,Breckinridge Co.,2018,Rate,93.1
School District,Breckinridge Co.,2019,Rate,89.4
School District,Breckinridge Co.,2020,Rate,95
School District,Breckinridge Co.,2021,Rate,94.8
School District,Breckinridge Co.,2022,Rate,87.9
School District,Breckinridge Co.,2023,Rate,91.3
School District,Breckinridge Co.,2024,Rate,95.4
School District,Bullitt Co.,2013,Rate,85.2
School District,Bullitt Co.,2014,Rate,87.3
